forecast_origin,horizon,Output growth rate,Consumption growth rate,Investment growth rate,log Hours worked,Inflation,Wage growth rate,Federal funds rate
40,1,-0.556229107277644,-0.230645150957776,-0.915867945109377,2.35594597847856,0.733423917888597,-0.114005771709294,0.777541576973991
40,2,-0.477156662482863,-0.235156247596973,-0.608287244348318,2.05799880278671,0.728473222690299,-0.21433952205844,0.807154483389258
40,3,-0.402800739632472,-0.206187677102951,-0.418794627636325,1.80956690378303,0.698598582722453,-0.264121429440408,0.834986238665971
40,4,-0.332921353316321,-0.159523414855237,-0.302984133585567,1.60143383606589,0.658982277532616,-0.278285343441977,0.859564928409437
40,5,-0.266627574313858,-0.104166043268981,-0.231297188811681,1.42720221538088,0.617668995184527,-0.268112461362428,0.880535847348942
40,6,-0.203563241225186,-0.0458216244222204,-0.184959098812985,1.28231445070595,0.579060769019623,-0.241970000254267,0.898066444545198
40,7,-0.143926932239686,0.0116943088550213,-0.15256320145521,1.16321328105869,0.545444812136719,-0.206012583340001,0.91255351705028
40,8,-0.0882087298703926,0.0658385124904894,-0.127510227810368,1.0668053100381,0.517789365838158,-0.164726307582862,0.924473520210768
40,9,-0.0369392624753674,0.115013850106259,-0.106204680864446,0.990186765308302,0.49622711851981,-0.121331568071288,0.934304428512441
40,10,0.00947442916892732,0.158351893705379,-0.0868391018998605,0.930546850454258,0.480378255035969,-0.0780822707108837,0.942485576938047
40,11,0.0508276980712559,0.195540756174025,-0.0686062462607661,0.885172378194549,0.469575157965786,-0.0364929017770189,0.949398838867831
40,12,0.0871341754719039,0.22667863716768,-0.0512100003737138,0.851498232945949,0.463018979478603,0.00248486554095056,0.955362288767545
40,13,0.118602447673245,0.252148456433517,-0.0345778107626581,0.827168219793373,0.459886040665291,0.0383221115139533,0.960631258432294
40,14,0.145592606850309,0.27251301154748,-0.0187043322441959,0.810086392511556,0.45939654823302,0.0708004041909007,0.965403639375577
40,15,0.168566183278732,0.2884304283362,-0.0035769665388144,0.798449799818614,0.460855149701752,0.0999217198256998,0.96982738353162
40,16,0.1880381013111,0.300588959206528,0.0108503733609568,0.790760553253189,0.463670881835056,0.125836741686943,0.974008840510995
41,1,-0.209094625272513,-0.0585070571718845,0.190021478959332,2.17328272482719,0.511304016260501,-0.0980920519465558,0.847570814976355
41,2,-0.393548609490536,-0.283049804796521,0.054716995324469,1.919452896177,0.457580668228223,-0.201742078613995,0.875138907977919
41,3,-0.402109600052998,-0.304101630918318,0.0340406542543334,1.6601515640205,0.412607180919334,-0.240085151543909,0.895150595849161
41,4,-0.344889823745062,-0.247512546524247,0.0491898461456824,1.4356654356626,0.374829521783103,-0.241530842579093,0.909991315366814
41,5,-0.268298136761254,-0.166772679438946,0.0699860701235575,1.25620766147379,0.345406957219009,-0.222163079949974,0.92123331934168
41,6,-0.19174158555965,-0.084484156863537,0.0857534289411075,1.11999110279867,0.324835156942804,-0.191790641426137,0.930000273661012
41,7,-0.12298760693687,-0.00985222964207561,0.0935312865296852,1.02084730072715,0.31261219407089,-0.156603049414043,0.937123371727576
41,8,-0.064657349966094,0.0538625406173175,0.0933577675586105,0.951464425176537,0.307567138447745,-0.120495852964559,0.943217372204955
41,9,-0.0170272489243958,0.106106839858284,0.0863976289186662,0.904769488108747,0.308225148783706,-0.0858277486552524,0.948725965986687
41,10,0.0207133132617724,0.147578041993746,0.0741927671720688,0.874504523730883,0.313075556492252,-0.0539057153391739,0.953955294766028
41,11,0.0498595964826181,0.179531898825213,0.0583472371057704,0.855436046545743,0.320738114934855,-0.0253209938318029,0.959102312569615
41,12,0.071877835537435,0.20342960163746,0.0403800589561252,0.843386292803682,0.330050025402202,-0.000191548516466078,0.964279932090877
41,13,0.0882289375440771,0.220745582128308,0.021647006904584,0.835172147737894,0.340097575222747,0.0216606568404948,0.96953919554846
41,14,0.100265839272763,0.232859325690356,0.00329676617487518,0.82849532253805,0.350211820026566,0.0405809720418366,0.974888263408918
41,15,0.109176003873221,0.240996388236605,-0.0137503996980285,0.82180905387309,0.359942948162014,0.0569907990853062,0.980308052572271
41,16,0.115954463171197,0.246201042108271,-0.0288063780655248,0.814177706975812,0.369023894266171,0.0713253967749343,0.985764542021802
42,1,0.521331370509103,0.635906764869473,-0.160991585616297,0.828602382493183,0.316756727716205,0.310038713147799,0.842337604304269
42,2,0.702963013886812,0.648335355157675,0.658257260432573,1.26496633581557,0.530370838827229,0.269964032428263,0.88652999905516
42,3,0.663229020940657,0.515044679531621,0.995114862335405,1.66777313982467,0.675699313798364,0.213442315472558,0.939899046146905
42,4,0.536846152033811,0.352243570363534,1.05622519735252,1.97765024983777,0.767141908741742,0.151950103281287,0.997953081559983
42,5,0.387683453250061,0.205295648302544,0.966111831588771,2.17936299863178,0.815824093008463,0.0927877950178345,1.057233661681
42,6,0.246626444411744,0.0899289033731329,0.802341675946006,2.27871396292657,0.831458389743097,0.0408287067634554,1.11511929998627
42,7,0.128079759278305,0.00925355231771496,0.613385630956266,2.29109008806583,0.822677249842916,-0.00085719589789196,1.16971357119526
42,8,0.0376055645228458,-0.039048698589826,0.428664460545582,2.23540980387424,0.796998862428071,-0.0306777663734569,1.21974992112025
42,9,-0.0242176722923709,-0.0595579473053586,0.264789774708538,2.13078623153497,0.760761074549047,-0.0482455785514626,1.26449519820453
42,10,-0.0596353853558048,-0.0576286715210584,0.129751576199632,1.99469152893623,0.719107469421293,-0.0541046162207863,1.30365102086942
42,11,-0.072392414345969,-0.0386357919803163,0.0258624449890425,1.84202339378694,0.676034558834588,-0.0494616503957009,1.33725704527948
42,12,-0.0668728676443839,-0.00756952344110656,-0.0481316570957204,1.68474287699729,0.634487919217679,-0.0359386218268383,1.36560067258619
42,13,-0.047533063408877,0.0311821633517147,-0.0955401256875662,1.53187821166005,0.596490742921253,-0.0153594236032526,1.38913669498638
42,14,-0.0185378878691292,0.0739363874981009,-0.120664726839681,1.38975553175109,0.563289257080102,0.0104216356384653,1.40841899003533
42,15,0.0164545905376677,0.117741646611201,-0.128076422255903,1.26235771646001,0.535502132957827,0.039648024992869,1.42404508396793
42,16,0.0543994592606671,0.160351547953048,-0.122148952451154,1.15174063666142,0.513264090266111,0.0707483050928997,1.43661337491596
43,1,-0.327188853628983,0.65006080662499,-3.03896843718489,-1.48477421594492,1.22818225227095,0.0116143281166777,0.383087440244097
43,2,0.700900087553058,1.11298679927406,-0.365612161976948,-0.910457938139675,1.3153221780641,0.136812459106442,0.413263271414278
43,3,0.927239565602745,0.990731019302467,0.833921233980677,-0.204275347776514,1.35967958927356,0.169170445085007,0.490015978274282
43,4,0.847302287742354,0.717088354739516,1.28450340438324,0.424189724489101,1.3628383614387,0.160141042427704,0.582672863441066
43,5,0.664942793972905,0.443565432204097,1.3509510953401,0.907173260990226,1.33016740861392,0.133419133842215,0.676473521659816
43,6,0.466799559067944,0.217861348724,1.22966690683447,1.23661016446763,1.26943017111704,0.1015822207139,0.764149211035306
43,7,0.289775737999269,0.0498394040903718,1.03056789974752,1.42935286073493,1.18912582712743,0.0719092097523801,0.842226123835902
43,8,0.148157753266777,-0.064083259338256,0.815219476068403,1.51147525297371,1.09735852547593,0.0485710451571518,0.909316132506274
